,file,predicted 1,predicted 2,predicted 3,x,y,z
4716,503378-O.jpg,INTERIOR DESIGN,FURNITURE,DESIGN THEORY,9.490143,7.4012156,4.0356927
4717,50338-O001.jpg,TRANSPORT,GRAPHICS,TOYS,9.32685,2.854592,3.6386554
4718,503381-O.jpg,TRANSPORT,INDUSTRIAL AND MANUFACTURING PROCESSES,ENGINEERING,8.924397,2.3112276,4.825946
4719,503382+383-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,ENGINEERING,SCIENTIFIC EQUIPMENT,8.905727,2.2589307,4.79906
4720,503384+385-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,TRANSPORT,ENGINEERING,8.952711,2.2933893,4.7940927
4721,503388-O.jpg,TRANSPORT,INDUSTRIAL AND MANUFACTURING PROCESSES,TOYS,8.876138,2.4505475,4.8491545
4722,503389-O.jpg,ENGINEERING,INDUSTRIAL AND MANUFACTURING PROCESSES,SCIENTIFIC EQUIPMENT,8.540257,2.1193235,5.455614
4723,50339-40-O.jpg,TOYS,TRANSPORT,DOMESTIC APPLIANCES,8.846144,3.1707854,4.0786614
4724,503397+398-O.jpg,TOYS,ENGINEERING,TRANSPORT,8.5530405,2.0316582,4.946294
4725,503421+422-O.jpg,TRANSPORT,OTHER,FURNITURE,8.697795,2.8104668,3.8921201
4726,503432+433-O.jpg,ENGINEERING,SCIENTIFIC EQUIPMENT,FURNITURE,8.378727,1.7995336,5.2925243
4727,503435-O.jpg,TRANSPORT,FURNITURE,ENGINEERING,8.625356,2.0252285,5.000128
4728,503455+456-O.jpg,FURNITURE,INTERIOR DESIGN,HEATING,10.884258,7.98285,5.467293
4729,503464-465-O.jpg,FURNITURE,INTERIOR DESIGN,OTHER,11.241196,7.495488,6.8581276
4730,503466-467-O.jpg,FURNITURE,OTHER,DESIGN THEORY,11.024785,7.4895782,7.0142946
4731,503472-O.jpg,DRAWING AND PAINTING EQUIPMENT AND ACCESSORIES,TABLEWARE,GRAPHICS,6.691849,-0.77314186,7.557896
4732,503473-O.jpg,SCIENTIFIC EQUIPMENT,ENGINEERING,HEATING,8.246372,1.8283654,5.6720986
4733,503474-O.jpg,HEATING,DOMESTIC APPLIANCES,MUSICAL INSTRUMENTS,6.8246694,2.452764,6.0612884
4734,503486-487-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,TRANSPORT,ENGINEERING,8.912292,2.20994,4.8646603
4735,503489-490-O.jpg,INTERIOR DESIGN,FURNITURE,HEATING,10.585529,7.5657682,4.821872
4736,503493+494-O.jpg,ENGINEERING,INDUSTRIAL AND MANUFACTURING PROCESSES,TOOLS,8.651867,2.1246514,5.1321735
4737,503500+501-O.jpg,PHOTOGRAPHY,TELECOMMUNICATIONS,ENGINEERING,7.3632035,1.6616464,5.296538
4738,503504-O.jpg,SCIENTIFIC EQUIPMENT,CLOCKS,TOYS,6.679976,0.821207,4.250868
4739,503506+507-O.jpg,GRAPHICS,PORTRAITS,INTERIOR DESIGN,7.3705635,4.838549,3.9745228
4740,503508+509-O (out of production do not use).jpg,TRANSPORT,FURNITURE,OTHER,9.334117,2.6709933,3.7922282
4741,503514+515-O.jpg,OTHER,SMOKING ACCESSORIES,TRANSPORT,8.701742,3.0786126,3.7446582
4742,503516-O.jpg,ENGINEERING,SCIENTIFIC EQUIPMENT,INDUSTRIAL AND MANUFACTURING PROCESSES,8.488324,2.0221083,5.607716
4743,503520-O.jpg,ARCHITECTURE,BUILDING ACCESSORIES,INTERIOR DESIGN,8.60765,4.7654014,3.2250907
4744,503521-O.jpg,ARCHITECTURE,BUILDING ACCESSORIES,DESIGN THEORY,8.586059,4.717419,3.2049131
4745,503524-O (out of production do not use).jpg,FURNITURE,GRAPHICS,TRANSPORT,10.58074,6.841773,7.735344
4746,503527+528-O.jpg,TRANSPORT,OTHER,SMOKING ACCESSORIES,9.474386,3.149119,2.788103
4747,503540+541-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,TRANSPORT,ENGINEERING,8.856506,2.2879956,4.971157
4748,503542+543-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,TRANSPORT,ENGINEERING,8.874165,2.2656024,4.9115744
4749,503546+547-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,ENGINEERING,TRANSPORT,8.876757,2.2513397,4.890048
4750,503553+554-O.jpg,ORNAMENTS,CERAMICS,WALLPAPER,6.384289,4.1985593,4.3395205
4751,503555+556-O.jpg,PORTRAITS,GRAPHICS,TOYS,7.0289335,4.751286,4.0599566
4752,503557-O.jpg,DOMESTIC APPLIANCES,TELECOMMUNICATIONS,HEATING,6.902087,2.1980479,5.9065337
4753,503558+559-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,TRANSPORT,ENGINEERING,8.846881,2.3132808,4.774954
4754,503564+565-O.jpg,TRANSPORT,GRAPHICS,OTHER,9.285873,2.9280071,3.577948
4755,503566-O.jpg,TRANSPORT,ARCHITECTURE,INTERIOR DESIGN,8.876417,3.7339418,3.4424455
4756,503567+568-O.jpg,TRANSPORT,FURNITURE,OTHER,9.241013,2.7411563,3.83158
