,file,predicted1,predicted2,predicted3,x,y,z
1092,2069-O--2070-O--copy-neg--CoID-.jpg,TABLEWARE,DOMESTIC APPLIANCES,SANITARY EQUIPMENT,7.4207444,2.1352623,6.572282
1093,207-H-O.jpg,SOUVENIRS,ORNAMENTS,DESIGN THEORY,3.753166,2.1158438,5.6151185
1094,207-to-1-H-O.jpg,TABLEWARE,ORNAMENTS,CERAMICS,4.0168133,-0.689921,7.192587
1095,207-to-2-H-O.jpg,TABLEWARE,ORNAMENTS,CERAMICS,4.0196967,-0.6198216,7.191212
1096,207-to-3-H-O.jpg,ORNAMENTS,TABLEWARE,SOUVENIRS,4.045147,-0.68269527,6.991149
1097,208-to-1-H-O.jpg,DESIGN THEORY,GRAPHICS,SOUVENIRS,4.4956303,3.0850093,3.9460013
1098,208-to-2-H-O.jpg,DESIGN THEORY,GRAPHICS,WALLPAPER,4.8819313,4.5456476,3.466673
1099,2080-O---copyright-CoID-.jpg,INTERIOR DESIGN,HEATING,FURNITURE,10.782563,8.227662,3.7489197
1100,2081-O---copyright-CoID-.jpg,INTERIOR DESIGN,FURNITURE,DOMESTIC APPLIANCES,11.721759,7.8947845,3.3922558
1101,2082-O---copyright-CoID-.jpg,INTERIOR DESIGN,FURNITURE,OTHER,11.988939,7.6010184,5.4132924
1102,2083-O---copyright-CoID--Out-of-production-do-not-use-.jpg,INTERIOR DESIGN,FURNITURE,SANITARY EQUIPMENT,11.586854,8.058704,3.3814924
1103,2084-O---copyright-CoID--Out-of-production-do-not-use-.jpg,INTERIOR DESIGN,FURNITURE,TOYS,10.422357,8.718412,4.295498
1104,2085-O---copyright-CoID--Out-of-production-do-not-use-.jpg,INTERIOR DESIGN,HEATING,TRANSPORT,10.381449,8.732953,4.032537
1105,2086-O---copyright-CoID--Out-of-production-do-not-use-.jpg,INTERIOR DESIGN,FURNITURE,HEATING,10.482901,8.665052,4.3616385
1106,2087-O---copyright-CoID-.jpg,CERAMICS,TABLEWARE,SOUVENIRS,3.6508424,-0.20311023,7.9793024
1107,2089-O--Dennis-Hooker--A.I.B.P--A.R.P.S-.jpg,ORNAMENTS,SOUVENIRS,GRAPHICS,3.8769517,2.3366325,4.0558624
1108,2090-O--Dennis-Hooker--A.I.B.P--A.R.P.S-.jpg,TABLEWARE,ORNAMENTS,CERAMICS,3.9242332,-0.6539656,7.154979
1109,2091-O--Dennis-Hooker--A.I.B.P--A.R.P.S-.jpg,TABLEWARE,ORNAMENTS,SOUVENIRS,3.7829409,-0.79358023,7.004307
1110,2092-O--Dennis-Hooker--A.I.B.P--A.R.P.S-.jpg,TABLEWARE,ORNAMENTS,CERAMICS,4.47445,-0.42418432,7.4139047
1111,2093-O--Dennis-Hooker--A.I.B.P--A.R.P.S-.jpg,ORNAMENTS,SOUVENIRS,CERAMICS,3.655473,-0.15207753,7.616972
1112,2094-O---copyright-CoID-.jpg,FURNITURE,ORNAMENTS,OTHER,11.779262,7.0556774,7.802094
1113,2095-O---copyright-CoID-.jpg,FURNITURE,ORNAMENTS,OTHER,11.848161,7.0498033,7.7561536
1114,2096-O---copyright-CoID-.jpg,FURNITURE,ORNAMENTS,OTHER,11.970317,7.0520315,7.636144
1115,2097-O---copyright-CoID-.jpg,INTERIOR DESIGN,FURNITURE,TRANSPORT,10.090466,8.795215,4.433396
1116,2098-O---copyright-CoID-.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,INTERIOR DESIGN,ENGINEERING,9.196748,2.6640685,5.4026423
1117,21-H-O.jpg,FURNITURE,INTERIOR DESIGN,OFFICE EQUIPMENT,12.360766,7.2529225,6.391679
1118,210-O.jpg,FURNITURE,INTERIOR DESIGN,OTHER,11.901827,7.911501,6.857782
1119,2101-O--Dennis-Hooker-A.I.B.P.--A.R.P.S.-.jpg,FURNITURE,TABLEWARE,ORNAMENTS,12.372732,7.7711363,7.081098
